"FieldName","ValidationStatus","ClassName","ModelClass","LineContent","LineNo","FilePath","RepoName"
"routingheader.action","VALID","ElavonRequestResponseBuilder","RoutingHeader","paramsMap.put( TXN_RESOURCE_URL, transactionRequest.routingHeader().action().toString() );","78","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\ElavonRequestResponseBuilder.java","acqelavons2aservice"
"routingheader.action","VALID","ElavonRequestResponseBuilder","RoutingHeader","paramsMap.put( TXN_RESOURCE_URL, transactionRequest.routingHeader().action().toString() );","90","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\ElavonRequestResponseBuilder.java","acqelavons2aservice"
"routingheader.sptaction","NOT_IN_CONVENTIONS","ElavonRequestResponseBuilder","RoutingHeader","return ""PROCESS_AND_RECORD"".equals( transactionRequest.routingHeader().sptAction() ) ||","120","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\ElavonRequestResponseBuilder.java","acqelavons2aservice"
"routingheader.sptaction","NOT_IN_CONVENTIONS","ElavonRequestResponseBuilder","RoutingHeader","""SPT_ONLY"".equals( transactionRequest.routingHeader().sptAction() );","121","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\ElavonRequestResponseBuilder.java","acqelavons2aservice"
"routingheader.action","VALID","ElavonRequestResponseBuilder","RoutingHeader","return transactionRequest.routingHeader().action().toString().toUpperCase();","143","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\ElavonRequestResponseBuilder.java","acqelavons2aservice"
"transactionresponse.sourcetransactionid","VALID","ElavonMapper","TransactionResponse","TransactionResponse details = new TransactionResponse().sourceTransactionId( internalId );","82","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\ack\ElavonMapper.java","acqelavons2aservice"
"transactionresponse.responsecode.declined","NOT_IN_CONVENTIONS","ElavonMapper","TransactionResponse","details.responseCode( TransactionResponse.ResponseCode.DECLINED )","86","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\ack\ElavonMapper.java","acqelavons2aservice"
"transactionresponse.responsecode.approved","NOT_IN_CONVENTIONS","ElavonMapper","TransactionResponse","details.responseCode( TransactionResponse.ResponseCode.APPROVED );","90","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\ack\ElavonMapper.java","acqelavons2aservice"
"polling.pollingrequest.submissionreferences.submissionreference.submissionid","NOT_IN_CONVENTIONS","ElavonMapper","SubmissionReference","submissionReference.submissionId( id );","110","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\ack\ElavonMapper.java","acqelavons2aservice"
"polling.pollingrequest.submissionreferences.submissionreference.responsematchdata","NOT_IN_CONVENTIONS","ElavonMapper","SubmissionReference","submissionReference.responseMatchData( metadata );","111","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\ack\ElavonMapper.java","acqelavons2aservice"
"","EMPTY","ISOResponseMessageConverter","TransactionResponse","requestResponse.getTransactionResponse().getMessage() );","72","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\converter\ISOResponseMessageConverter.java","acqelavons2aservice"
"transaction.acquirertransactionid","VALID","ISOResponseMessageConverter","Transaction","requestResponse.getTransactionRequest().transaction().acquirerTransactionId() ) ) {","95","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\converter\ISOResponseMessageConverter.java","acqelavons2aservice"
"transactionresponse.transactionresponse.acquirertransactionid","NOT_IN_CONVENTIONS","ISOResponseMessageConverter","TransactionResponse","transactionResponse.transactionResponse().acquirerTransactionId(","96","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\converter\ISOResponseMessageConverter.java","acqelavons2aservice"
"transaction.acquirertransactionid","VALID","ISOResponseMessageConverter","Transaction","requestResponse.getTransactionRequest().transaction().acquirerTransactionId() );","97","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\converter\ISOResponseMessageConverter.java","acqelavons2aservice"
"merchantcontext.merchantacquirerrelationship.testmode","VALID","ElavonOnlineHealthMonitor","MerchantAcquirerRelationship","liquidBean.subBean( ""MerchantContext.MerchantAcquirerRelationship.TestMode"" )","37","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\healthmonitor\online\ElavonOnlineHealthMonitor.java","acqelavons2aservice"
"merchantcontext.acquirer.acquirerid","VALID","ElavonOnlineHealthMonitor","Acquirer","liquidBean.subBean( ""MerchantContext.Acquirer.AcquirerId"" )","39","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\healthmonitor\online\ElavonOnlineHealthMonitor.java","acqelavons2aservice"
"transactionresponse.stan","VALID","ElavonResponseToMegaJsonMapper","TransactionResponse","stan.ifPresent( result -> response.transactionResponse().stan( result ) );","77","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transactionresponse.responsecode","VALID","ElavonResponseToMegaJsonMapper","TransactionResponse","response.transactionResponse().responseCode(","108","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transactionresponse.acquirerresponseadvice","VALID","ElavonResponseToMegaJsonMapper","TransactionResponse","response.transactionResponse().acquirerResponseAdvice(","120","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transactionresponse.responsecode","VALID","ElavonResponseToMegaJsonMapper","TransactionResponse","response.transactionResponse().responseCode( APPROVED );","129","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
"transactionresponse.stan","VALID","ElavonResponseToMegaJsonMapper","TransactionResponse",".ifPresent( stanResult -> response.transactionResponse().stan( stanResult ) );","139","C:\Users\e135408\IdeaProjects\MODERNIZATION\acqelavons2aservice\acqElavonS2AService\src\main\java\com\mastercard\gateway\acquiring\elavon\mapping\ElavonResponseToMegaJsonMapper.java","acqelavons2aservice"
